adaptive_cell_id,rental_count,seed_rental_idx,seed_local_k_radius_m,x_centroid,y_centroid,radius_m,mean_rent,median_rent,mean_price_per_bedroom,member_rental_idx,centroid_lon,centroid_lat,cell_area_km2,crime_count_in_circle,violent_crime_count_in_circle,violent_crime_ratio_in_circle,restaurant_count_in_circle,subway_count_in_circle
ac_0108,5,704,195.93379224086763,627385.4079734706,4837972.959127633,195.93379224086763,2439.8,2250.0,2089.8,"704,980,814,847,279",-79.4195182,43.68384629999999,0.12060590200997161,201,129,0.6417910447761194,13,0
ac_0109,5,616,199.82629843347362,629890.3264620926,4836452.975036326,199.82629843347362,3163.0,2695.0,3163.0,"616,72,232,469,925",-79.38881764,43.66973187999999,0.12544552110633456,792,582,0.7348484848484849,38,1
ac_0110,5,996,199.96203907533567,629095.1241045501,4835105.834542703,199.96203907533567,2315.0,2050.0,2315.0,"996,506,739,942,502",-79.399,43.6577455,0.12561600756590707,390,265,0.6794871794871795,30,0
ac_0111,5,800,201.66863110982504,624925.6772651687,4849398.343928452,201.66863110982504,2737.6,2850.0,1593.8,"800,721,1142,1020,1171",-79.4473698,43.78709969999999,0.12776931706804695,57,39,0.6842105263157895,1,0
ac_0112,5,299,202.71423870802096,628890.1255020343,4840609.821334478,202.71423870802096,2052.0,2080.0,1878.6666666666667,"299,713,742,809,678",-79.4002252,43.707319700000006,0.12909766349903928,308,223,0.724025974025974,29,2
ac_0113,5,1161,202.9705604375169,630202.5539143693,4840915.721200798,202.9705604375169,2289.4,2310.0,1779.7,"1161,1178,801,885,732",-79.3838678,43.709843799999994,0.12942434461659388,44,29,0.6590909090909091,1,0
ac_0114,5,256,203.38587579034638,629827.6760836536,4834434.913802725,203.38587579034638,2505.8,2480.0,2505.8,"257,256,146,115,343",-79.39008,43.651579300000016,0.12995453885187144,197,122,0.6192893401015228,30,0
ac_0115,5,14,207.52828740502525,629599.6325245426,4833077.927645619,207.52828740502525,2394.8,2300.0,2079.8,"14,281,292,36,535",-79.3932324,43.639405499999995,0.13530208121904044,216,144,0.6666666666666666,5,0
ac_0116,5,485,207.61613340453613,628848.1519404504,4836902.823271607,207.61613340453613,2278.8,1995.0,1938.9,"485,865,277,1089,838",-79.4016325,43.6739622,0.13541665125965274,203,136,0.6699507389162561,4,0
ac_0117,5,676,210.54051186712627,629180.9559525491,4838448.183601178,210.54051186712627,2495.0,2350.0,1895.0,"676,715,990,719,189",-79.3971353,43.6878134,0.13925834245587065,37,20,0.5405405405405406,10,0
ac_0118,5,282,215.79038605108536,627188.2482742225,4833322.627036641,215.79038605108536,2259.4,2200.0,1779.4,"282,354,353,169,623",-79.4230597,43.642024200000016,0.14628980353186313,237,144,0.6075949367088608,19,0
ac_0119,5,510,217.43723014162842,628898.5724643859,4832731.547583115,217.43723014162842,2440.0,2200.0,1830.0,"510,252,349,437,271",-79.4020034,43.6364097,0.1485311990101521,222,141,0.6351351351351351,1,0
ac_0120,5,648,220.58411895155953,618569.21739619,4827471.6910619475,220.58411895155953,1880.0,1875.0,1880.0,"648,880,219,881,931",-79.5311694,43.59078309999999,0.1528615844043915,72,48,0.6666666666666666,0,0
ac_0121,5,188,226.69909572671037,630678.871085109,4836115.911340862,226.69909572671037,2252.0919999999996,2300.0,2252.0919999999996,"188,796,1135,1126,250",-79.3791219,43.66655990000001,0.16145423762815336,643,459,0.713841368584759,23,0
ac_0122,5,555,236.02177769420888,630815.5982933401,4835573.454285677,236.02177769420888,2535.8,2000.0,1602.6,"555,205,197,995,462",-79.3775582,43.66165350000001,0.17500643858032738,686,453,0.6603498542274052,18,0
ac_0123,5,412,237.28809687179876,629740.0329050199,4833707.810742585,237.28809687179876,2470.0,2500.0,2220.0,"412,307,90,339,340",-79.3913411,43.64505029999999,0.1768893878606382,633,464,0.7330173775671406,57,0
ac_0124,5,1009,240.70807225628846,625160.613498411,4836028.037709974,240.70807225628846,2330.0,2400.0,1760.0,"1009,1084,638,255,1144",-79.4475628,43.6667189,0.1820250597428321,238,175,0.7352941176470589,3,0
