adaptive_cell_id,rental_count,seed_grid_x,seed_grid_y,growth_rings,x_centroid,y_centroid,seed_local_k_radius_m,radius_m,mean_rent,median_rent,mean_price_per_bedroom,member_rental_idx,centroid_lon,centroid_lat,cell_area_km2,crime_count_in_circle,violent_crime_count_in_circle,violent_crime_ratio_in_circle,restaurant_count_in_circle,subway_count_in_circle,crime_assignment_median_dist_m,restaurant_assignment_median_dist_m,subway_assignment_median_dist_m
ac_0122,3,171,60,1,629750.0,4833250.0,151.45434208920122,151.45434208920122,2400.0,2300.0,2400.0,"332,386,494",-79.39132754625508,43.640928026813384,0.07206316464964664,87,75,0.8620689655172413,3,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0123,3,156,61,1,628250.0,4833350.0,102.44107881428188,102.44107881428188,2291.6666666666665,2350.0,2291.6666666666665,"534,1138,1049",-79.40989407325505,43.64208824610175,0.03296842191880469,161,80,0.4968944099378882,18,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0124,3,179,61,1,630550.0,4833350.0,70.75419673982259,70.75419673982259,2750.0,3100.0,1700.0,"584,588,18",-79.38138866806831,43.641688087530646,0.01572730403166614,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0125,3,187,61,1,631350.0,4833350.0,86.50070828728568,86.50070828728568,2683.3333333333335,2700.0,2141.6666666666665,"514,579,319",-79.37147388284387,43.64154723650947,0.023506566584871335,14,12,0.8571428571428571,1,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0126,3,141,62,1,626750.0,4833450.0,61.2517589147778,61.2517589147778,2165.0,2000.0,1831.6666666666667,"628,249,333",-79.42846140131785,43.64324545931508,0.011786558108936028,159,86,0.5408805031446541,4,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0127,3,178,62,1,630450.0,4833450.0,113.99063213820848,113.99063213820848,2443.3333333333335,3000.0,1221.6666666666667,"222,402,176",-79.3826038694455,43.642605681663554,0.04082142836043041,77,58,0.7532467532467533,15,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0128,3,183,62,1,630950.0,4833450.0,69.32592951088715,69.32592951088715,1925.0,1900.0,1925.0,"45,225,192",-79.37640702221123,43.642517814912964,0.015098759765738105,170,109,0.6411764705882353,8,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0129,3,163,63,1,628950.0,4833550.0,129.9650798573229,129.9650798573229,2300.0,2200.0,1833.3333333333333,"405,419,311",-79.40117070295085,43.64376732343404,0.053064396412015866,388,298,0.7680412371134021,16,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0130,3,183,63,1,630950.0,4833550.0,110.97602050001298,110.97602050001298,2816.6666666666665,3000.0,1783.3333333333333,"15,364,511",-79.37638277682852,43.64341786020801,0.03869084078308609,45,24,0.5333333333333333,4,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0131,3,170,64,1,629650.0,4833650.0,151.45146305548016,151.45146305548016,2716.6666666666665,2650.0,2183.3333333333335,"275,445,51",-79.39247087197859,43.6445456747098,0.07206042494200585,46,25,0.5434782608695652,5,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0132,3,169,65,1,629550.0,4833750.0,94.09170281798187,94.09170281798187,2664.0,2500.0,1648.6666666666667,"339,340,687",-79.39368630191534,43.645463154054234,0.02781330057111576,318,257,0.8081761006289309,7,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0133,3,162,66,1,628850.0,4833850.0,127.79422117119752,127.79422117119752,2366.6666666666665,2300.0,2366.6666666666665,"288,540,213",-79.40233853292374,43.646484824907404,0.05130648991317629,474,379,0.79957805907173,20,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0134,3,166,66,1,629250.0,4833850.0,63.90068767580582,63.90068767580582,2875.0,2500.0,2216.6666666666665,"465,557,526",-79.39738068576366,43.646415409303316,0.01282805863931981,263,179,0.6806083650190115,14,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0135,3,170,67,1,629650.0,4833950.0,72.59782205875037,72.59782205875037,2016.6666666666667,2100.0,1358.3333333333333,"496,114,1003",-79.39239884686204,43.6472458305665,0.01655758742168269,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0136,3,171,67,1,629750.0,4833950.0,71.29354155288961,71.29354155288961,3200.0,2500.0,2111.111111111111,"477,576,478",-79.39115937379448,43.64722838880465,0.015967989961263186,74,32,0.43243243243243246,1,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0137,3,172,67,1,629850.0,4833950.0,150.8582382625376,150.8582382625376,2548.3333333333335,2600.0,2548.3333333333335,"376,533,622",-79.38991990184019,43.64721093360927,0.07149701922401518,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0138,3,174,67,1,630050.0,4833950.0,75.56115294677915,75.56115294677915,2800.0,2400.0,2800.0,"35,145,508",-79.38744096127488,43.64717598291812,0.0179368850370859,160,143,0.89375,16,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0139,3,175,69,2,630150.0,4834150.0,170.48040416890848,170.48040416890848,4016.6666666666665,4000.0,2675.0,"395,396,1173",-79.38615328542713,43.64895858510497,0.09130589236180121,185,114,0.6162162162162163,43,1,673.7528577394792,290.34015792032005,394.39759579881957
ac_0140,3,178,71,2,630450.0,4834350.0,187.52699853087876,187.52699853087876,3366.6666666666665,3000.0,2050.0,"569,54,476",-79.38238645267133,43.650706108518996,0.1104784259125879,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0141,3,190,73,1,631650.0,4834550.0,92.4354483013208,92.4354483013208,2350.0,2300.0,2350.0,"366,433,546",-79.36746329840473,43.65229468471256,0.026842748131714344,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0142,3,172,74,1,629850.0,4834650.0,101.14028588588239,101.14028588588239,2459.6666666666665,2480.0,2459.6666666666665,"115,146,1102",-79.38975154536118,43.65351128429298,0.03213647415013569,125,96,0.768,27,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0143,3,201,75,1,632750.0,4834750.0,144.00350844319814,144.00350844319814,3050.0,2800.0,1916.6666666666667,"442,471,337",-79.35377900060865,43.65389916169208,0.0651472396681289,0,0,0.0,0,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0144,3,180,76,1,630650.0,4834850.0,67.57845036653,67.57845036653,2249.6666666666665,2000.0,1733.1666666666667,"608,52,581",-79.3797863663154,43.65517121854174,0.014347172840571725,889,778,0.875140607424072,26,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0145,3,194,76,2,632050.0,4834850.0,220.53934643667773,220.53934643667773,2291.6666666666665,2900.0,1151.388888888889,"1047,1165,571",-79.36243167175815,43.65492386125684,0.1527995372994285,191,124,0.6492146596858639,19,0,673.7528577394792,290.34015792032005,394.39759579881957
ac_0146,3,177,78,1,630350.0,4835050.0,65.60341537675673,65.60341537675673,2433.3333333333335,2300.0,1933.3333333333333,"238,463,552",-79.38345695676618,43.65702397377453,0.013520811937993914,367,301,0.8201634877384196,35,0,673.7528577394792,290.34015792032005,394.39759579881957
