grid_id,grid_ix,grid_iy,crime,rentals,restaurants,subway,total_points,x_min,x_max,y_min,y_max,x_centroid,y_centroid,centroid_lon,centroid_lat,cell_area_km2
g_8_31,8,31,19.0,0.0,0.0,0.0,19.0,613500.0,614000.0,4842500.0,4843000.0,613750.0,4842750.0,-79.58763078398458,43.72905929862741,0.25
g_8_32,8,32,224.0,0.0,0.0,0.0,224.0,613500.0,614000.0,4843000.0,4843500.0,613750.0,4843250.0,-79.58752499617965,43.733559895687804,0.25
g_8_33,8,33,112.0,0.0,0.0,0.0,112.0,613500.0,614000.0,4843500.0,4844000.0,613750.0,4843750.0,-79.58741918384189,43.73806048898581,0.25
g_8_34,8,34,261.0,0.0,5.0,0.0,266.0,613500.0,614000.0,4844000.0,4844500.0,613750.0,4844250.0,-79.58731334696445,43.742561078521355,0.25
g_8_35,8,35,55.0,0.0,0.0,0.0,55.0,613500.0,614000.0,4844500.0,4845000.0,613750.0,4844750.0,-79.58720748554057,43.74706166429437,0.25
g_8_36,8,36,331.0,0.0,0.0,0.0,331.0,613500.0,614000.0,4845000.0,4845500.0,613750.0,4845250.0,-79.58710159956344,43.75156224630475,0.25
g_8_37,8,37,64.0,0.0,0.0,0.0,64.0,613500.0,614000.0,4845500.0,4846000.0,613750.0,4845750.0,-79.58699568902621,43.75606282455242,0.25
g_8_38,8,38,77.0,0.0,0.0,0.0,77.0,613500.0,614000.0,4846000.0,4846500.0,613750.0,4846250.0,-79.5868897539221,43.76056339903731,0.25
g_9_9,9,9,5.0,0.0,0.0,0.0,5.0,614000.0,614500.0,4831500.0,4832000.0,614250.0,4831750.0,-79.5837557705934,43.629968602724546,0.25
g_9_10,9,10,16.0,0.0,0.0,0.0,16.0,614000.0,614500.0,4832000.0,4832500.0,614250.0,4832250.0,-79.5836500586737,43.63446927056657,0.25
g_9_11,9,11,44.0,0.0,0.0,0.0,44.0,614000.0,614500.0,4832500.0,4833000.0,614250.0,4832750.0,-79.58354432226317,43.63896993464629,0.25
g_9_12,9,12,18.0,0.0,0.0,0.0,18.0,614000.0,614500.0,4833000.0,4833500.0,614250.0,4833250.0,-79.58343856135505,43.64347059496362,0.25
g_9_13,9,13,23.0,0.0,0.0,0.0,23.0,614000.0,614500.0,4833500.0,4834000.0,614250.0,4833750.0,-79.58333277594257,43.6479712515185,0.25
g_9_14,9,14,52.0,0.0,1.0,0.0,53.0,614000.0,614500.0,4834000.0,4834500.0,614250.0,4834250.0,-79.58322696601893,43.652471904310815,0.25
